route,date,actual_qty,actual_volume
Toulouse-Nice,2026-04-01,3156,4734.0
Toulouse-Nice,2026-04-02,1887,2830.5
Toulouse-Nice,2026-04-03,975,1462.5
Toulouse-Nice,2026-04-04,3500,5250.0
Toulouse-Nice,2026-04-05,568,852.0
Toulouse-Nice,2026-04-06,137,205.5
Toulouse-Nice,2026-04-07,1147,1720.5
Lodz-Warsaw,2026-04-01,1104,1656.0
Lodz-Warsaw,2026-04-02,1862,2793.0
Lodz-Warsaw,2026-04-03,2934,4401.0
Lodz-Warsaw,2026-04-04,2243,3364.5
Lodz-Warsaw,2026-04-05,2640,3960.0
Lodz-Warsaw,2026-04-06,1147,1720.5
Lodz-Warsaw,2026-04-07,2836,4254.0
Turin-Bristol,2026-04-01,1257,1885.5
Turin-Bristol,2026-04-02,2675,4012.5
Turin-Bristol,2026-04-03,2256,3384.0
Turin-Bristol,2026-04-04,2008,3012.0
Turin-Bristol,2026-04-05,1748,2622.0
Turin-Bristol,2026-04-06,2390,3585.0
Turin-Bristol,2026-04-07,398,597.0
Wroclaw-Cologne,2026-04-01,2133,3199.5
Wroclaw-Cologne,2026-04-02,209,313.5
Wroclaw-Cologne,2026-04-03,2766,4149.0
Wroclaw-Cologne,2026-04-04,2114,3171.0
Wroclaw-Cologne,2026-04-05,2577,3865.5
Wroclaw-Cologne,2026-04-06,2213,3319.5
Wroclaw-Cologne,2026-04-07,126,189.0
Malaga-Wroclaw,2026-04-01,1856,2784.0
Malaga-Wroclaw,2026-04-02,441,661.5
Malaga-Wroclaw,2026-04-03,2233,3349.5
Malaga-Wroclaw,2026-04-04,714,1071.0
Malaga-Wroclaw,2026-04-05,309,463.5
Malaga-Wroclaw,2026-04-06,361,541.5
Malaga-Wroclaw,2026-04-07,3115,4672.5
Milan-The Hague,2026-04-01,636,954.0
Milan-The Hague,2026-04-02,270,405.0
Milan-The Hague,2026-04-03,2395,3592.5
Milan-The Hague,2026-04-04,458,687.0
Milan-The Hague,2026-04-05,415,622.5
Milan-The Hague,2026-04-06,1087,1630.5
Milan-The Hague,2026-04-07,2381,3571.5
Cologne-Marseille,2026-04-01,1665,2497.5
Cologne-Marseille,2026-04-02,2880,4320.0
Cologne-Marseille,2026-04-03,1283,1924.5
Cologne-Marseille,2026-04-04,2311,3466.5
Cologne-Marseille,2026-04-05,1143,1714.5
Cologne-Marseille,2026-04-06,122,183.0
Cologne-Marseille,2026-04-07,2525,3787.5
Milan-Eindhoven,2026-04-01,2569,3853.5
Milan-Eindhoven,2026-04-02,2864,4296.0
Milan-Eindhoven,2026-04-03,2414,3621.0
Milan-Eindhoven,2026-04-04,3144,4716.0
Milan-Eindhoven,2026-04-05,1822,2733.0
Milan-Eindhoven,2026-04-06,2726,4089.0
Milan-Eindhoven,2026-04-07,2200,3300.0
Liverpool-Cologne,2026-04-01,3028,4542.0
Liverpool-Cologne,2026-04-02,2402,3603.0
Liverpool-Cologne,2026-04-03,785,1177.5
Liverpool-Cologne,2026-04-04,814,1221.0
Liverpool-Cologne,2026-04-05,340,510.0
Liverpool-Cologne,2026-04-06,3384,5076.0
Liverpool-Cologne,2026-04-07,1706,2559.0
Krakow-Valencia,2026-04-01,1778,2667.0
Krakow-Valencia,2026-04-02,823,1234.5
Krakow-Valencia,2026-04-03,2551,3826.5
Krakow-Valencia,2026-04-04,1041,1561.5
Krakow-Valencia,2026-04-05,3262,4893.0
Krakow-Valencia,2026-04-06,1603,2404.5
Krakow-Valencia,2026-04-07,3283,4924.5
Manchester-Krakow,2026-04-01,2591,3886.5
Manchester-Krakow,2026-04-02,801,1201.5
Manchester-Krakow,2026-04-03,695,1042.5
Manchester-Krakow,2026-04-04,1201,1801.5
Manchester-Krakow,2026-04-05,2907,4360.5
Manchester-Krakow,2026-04-06,109,163.5
Manchester-Krakow,2026-04-07,1682,2523.0
Stuttgart-Paris,2026-04-01,1932,2898.0
Stuttgart-Paris,2026-04-02,745,1117.5
Stuttgart-Paris,2026-04-03,246,369.0
Stuttgart-Paris,2026-04-04,1249,1873.5
Stuttgart-Paris,2026-04-05,149,223.5
Stuttgart-Paris,2026-04-06,1842,2763.0
Stuttgart-Paris,2026-04-07,1459,2188.5
Lodz-Poznan,2026-04-01,1771,2656.5
Lodz-Poznan,2026-04-02,3551,5326.5
Lodz-Poznan,2026-04-03,477,715.5
Lodz-Poznan,2026-04-04,1119,1678.5
Lodz-Poznan,2026-04-05,1746,2619.0
Lodz-Poznan,2026-04-06,580,870.0
Lodz-Poznan,2026-04-07,482,723.0
Munich-Stuttgart,2026-04-01,1609,2413.5
Munich-Stuttgart,2026-04-02,361,541.5
Munich-Stuttgart,2026-04-03,1515,2272.5
Munich-Stuttgart,2026-04-04,2982,4473.0
Munich-Stuttgart,2026-04-05,1518,2277.0
Munich-Stuttgart,2026-04-06,3283,4924.5
Munich-Stuttgart,2026-04-07,2205,3307.5
Zaragoza-Eindhoven,2026-04-01,82,123.0
Zaragoza-Eindhoven,2026-04-02,3313,4969.5
Zaragoza-Eindhoven,2026-04-03,2458,3687.0
Zaragoza-Eindhoven,2026-04-04,720,1080.0
Zaragoza-Eindhoven,2026-04-05,2155,3232.5
Zaragoza-Eindhoven,2026-04-06,1374,2061.0
Zaragoza-Eindhoven,2026-04-07,2210,3315.0
Lodz-Wroclaw,2026-04-01,1163,1744.5
Lodz-Wroclaw,2026-04-02,505,757.5
Lodz-Wroclaw,2026-04-03,710,1065.0
