version,route,date,qty,volume,country,lane_type
v_prior,Toulouse-Nice,2026-04-01,3113,4669.5,France,Road
v_current,Toulouse-Nice,2026-04-01,2974,4461.0,France,Road
v_prior,Toulouse-Nice,2026-04-02,1926,2889.0,France,Road
v_current,Toulouse-Nice,2026-04-02,1990,2985.0,France,Road
v_prior,Toulouse-Nice,2026-04-03,987,1480.5,France,Road
v_current,Toulouse-Nice,2026-04-03,946,1419.0,France,Road
v_prior,Toulouse-Nice,2026-04-04,3436,5154.0,France,Road
v_current,Toulouse-Nice,2026-04-04,3319,4978.5,France,Road
v_prior,Toulouse-Nice,2026-04-05,577,865.5,France,Road
v_current,Toulouse-Nice,2026-04-05,553,829.5,France,Road
v_prior,Toulouse-Nice,2026-04-06,136,204.0,France,Road
v_current,Toulouse-Nice,2026-04-06,138,207.0,France,Road
v_prior,Toulouse-Nice,2026-04-07,1174,1761.0,France,Road
v_current,Toulouse-Nice,2026-04-07,1212,1818.0,France,Road
v_prior,Lodz-Warsaw,2026-04-01,1103,1654.5,Poland,Road
v_current,Lodz-Warsaw,2026-04-01,1081,1621.5,Poland,Road
v_prior,Lodz-Warsaw,2026-04-02,1856,2784.0,Poland,Road
v_current,Lodz-Warsaw,2026-04-02,1882,2823.0,Poland,Road
v_prior,Lodz-Warsaw,2026-04-03,2937,4405.5,Poland,Road
v_current,Lodz-Warsaw,2026-04-03,2825,4237.5,Poland,Road
v_prior,Lodz-Warsaw,2026-04-04,2244,3366.0,Poland,Road
v_current,Lodz-Warsaw,2026-04-04,2259,3388.5,Poland,Road
v_prior,Lodz-Warsaw,2026-04-05,2601,3901.5,Poland,Road
v_current,Lodz-Warsaw,2026-04-05,2485,3727.5,Poland,Road
v_prior,Lodz-Warsaw,2026-04-06,1136,1704.0,Poland,Road
v_current,Lodz-Warsaw,2026-04-06,1132,1698.0,Poland,Road
v_prior,Lodz-Warsaw,2026-04-07,2801,4201.5,Poland,Road
v_current,Lodz-Warsaw,2026-04-07,2754,4131.0,Poland,Road
v_prior,Turin-Bristol,2026-04-01,1224,1836.0,Italy,Road
v_current,Turin-Bristol,2026-04-01,1178,1767.0,Italy,Road
v_prior,Turin-Bristol,2026-04-02,2750,4125.0,Italy,Road
v_current,Turin-Bristol,2026-04-02,2729,4093.5,Italy,Road
v_prior,Turin-Bristol,2026-04-03,2219,3328.5,Italy,Road
v_current,Turin-Bristol,2026-04-03,2289,3433.5,Italy,Road
v_prior,Turin-Bristol,2026-04-04,2003,3004.5,Italy,Road
v_current,Turin-Bristol,2026-04-04,1951,2926.5,Italy,Road
v_prior,Turin-Bristol,2026-04-05,1763,2644.5,Italy,Road
v_current,Turin-Bristol,2026-04-05,1795,2692.5,Italy,Road
v_prior,Turin-Bristol,2026-04-06,2346,3519.0,Italy,Road
v_current,Turin-Bristol,2026-04-06,2389,3583.5,Italy,Road
v_prior,Turin-Bristol,2026-04-07,394,591.0,Italy,Road
v_current,Turin-Bristol,2026-04-07,397,595.5,Italy,Road
v_prior,Wroclaw-Cologne,2026-04-01,2154,3231.0,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-01,2240,3360.0,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-02,209,313.5,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-02,215,322.5,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-03,2801,4201.5,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-03,2676,4014.0,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-04,2070,3105.0,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-04,2101,3151.5,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-05,2553,3829.5,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-05,2605,3907.5,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-06,2171,3256.5,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-06,2150,3225.0,Poland,Sea
v_prior,Wroclaw-Cologne,2026-04-07,124,186.0,Poland,Sea
v_current,Wroclaw-Cologne,2026-04-07,130,195.0,Poland,Sea
v_prior,Malaga-Wroclaw,2026-04-01,1892,2838.0,Spain,Road
v_current,Malaga-Wroclaw,2026-04-01,1962,2943.0,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-02,450,675.0,Spain,Road
v_current,Malaga-Wroclaw,2026-04-02,443,664.5,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-03,2211,3316.5,Spain,Road
v_current,Malaga-Wroclaw,2026-04-03,2221,3331.5,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-04,716,1074.0,Spain,Road
v_current,Malaga-Wroclaw,2026-04-04,694,1041.0,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-05,301,451.5,Spain,Road
v_current,Malaga-Wroclaw,2026-04-05,300,450.0,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-06,359,538.5,Spain,Road
v_current,Malaga-Wroclaw,2026-04-06,360,540.0,Spain,Road
v_prior,Malaga-Wroclaw,2026-04-07,3201,4801.5,Spain,Road
v_current,Malaga-Wroclaw,2026-04-07,3233,4849.5,Spain,Road
v_prior,Milan-The Hague,2026-04-01,827,1240.5,Italy,Air
v_current,Milan-The Hague,2026-04-01,842,1263.0,Italy,Air
v_prior,Milan-The Hague,2026-04-02,378,567.0,Italy,Air
v_current,Milan-The Hague,2026-04-02,364,546.0,Italy,Air
v_prior,Milan-The Hague,2026-04-03,3137,4705.5,Italy,Air
v_current,Milan-The Hague,2026-04-03,3036,4554.0,Italy,Air
v_prior,Milan-The Hague,2026-04-04,616,924.0,Italy,Air
v_current,Milan-The Hague,2026-04-04,588,882.0,Italy,Air
v_prior,Milan-The Hague,2026-04-05,522,783.0,Italy,Air
v_current,Milan-The Hague,2026-04-05,519,778.5,Italy,Air
v_prior,Milan-The Hague,2026-04-06,1499,2248.5,Italy,Air
v_current,Milan-The Hague,2026-04-06,1439,2158.5,Italy,Air
v_prior,Milan-The Hague,2026-04-07,3307,4960.5,Italy,Air
v_current,Milan-The Hague,2026-04-07,3197,4795.5,Italy,Air
v_prior,Cologne-Marseille,2026-04-01,1715,2572.5,Germany,Road
v_current,Cologne-Marseille,2026-04-01,1771,2656.5,Germany,Road
v_prior,Cologne-Marseille,2026-04-02,2809,4213.5,Germany,Road
v_current,Cologne-Marseille,2026-04-02,2714,4071.0,Germany,Road
v_prior,Cologne-Marseille,2026-04-03,1315,1972.5,Germany,Road
v_current,Cologne-Marseille,2026-04-03,1351,2026.5,Germany,Road
v_prior,Cologne-Marseille,2026-04-04,2343,3514.5,Germany,Road
v_current,Cologne-Marseille,2026-04-04,2430,3645.0,Germany,Road
v_prior,Cologne-Marseille,2026-04-05,1114,1671.0,Germany,Road
v_current,Cologne-Marseille,2026-04-05,1110,1665.0,Germany,Road
v_prior,Cologne-Marseille,2026-04-06,119,178.5,Germany,Road
v_current,Cologne-Marseille,2026-04-06,121,181.5,Germany,Road
v_prior,Cologne-Marseille,2026-04-07,2455,3682.5,Germany,Road
v_current,Cologne-Marseille,2026-04-07,2408,3612.0,Germany,Road
v_prior,Milan-Eindhoven,2026-04-01,2579,3868.5,Italy,Rail
v_current,Milan-Eindhoven,2026-04-01,2596,3894.0,Italy,Rail
v_prior,Milan-Eindhoven,2026-04-02,2787,4180.5,Italy,Rail
v_current,Milan-Eindhoven,2026-04-02,2740,4110.0,Italy,Rail
v_prior,Milan-Eindhoven,2026-04-03,2432,3648.0,Italy,Rail
v_current,Milan-Eindhoven,2026-04-03,2480,3720.0,Italy,Rail
v_prior,Milan-Eindhoven,2026-04-04,3168,4752.0,Italy,Rail
v_current,Milan-Eindhoven,2026-04-04,3305,4957.5,Italy,Rail
v_prior,Milan-Eindhoven,2026-04-05,1776,2664.0,Italy,Rail
v_current,Milan-Eindhoven,2026-04-05,1831,2746.5,Italy,Rail
v_prior,Milan-Eindhoven,2026-04-06,2768,4152.0,Italy,Rail
v_current,Milan-Eindhoven,2026-04-06,2872,4308.0,Italy,Rail
